"Date","plot","soilWC","temp","saltype","salcount","site"
"5","HI",58.1826275,8.172222222,"rbnh",4,"BL"
"6","HI",60,8.544444444,"rbnh",6,"BL"
"7","HI",58.9932886,8.861111111,"rbnh",3,"BL"
"8","LO",60.6441556,9.122222222,"rbnh",4,"BL"
"9","LO",56.9119128,9.288888889,"rbnh",4,"BL"
"10","LO",68.8040602,9.772222222,"rbnh",3,"BL"
"11","HI",65.0185953,9.844444444,"rbnh",10,"BL"
"12","HI",58.639499,10.27222222,"rbnh",1,"BL"
"13","HI",63.8820143,10.36111111,"rbnh",0,"BL"
"14","LO",65.7442208,10.39444444,"rbnh",1,"BL"
"15","LO",67.6405703,10.62777778,"rbnh",1,"BL"
"16","HI",NA,10.9,"rbnh",0,"BL"
"17","LO",70.7499899,11.05555556,"rbnh",6,"BL"
"18","HI",65.5408173,11.41111111,"rbnh",0,"BL"
"19","HI",67.9667235,11.6,"rbnh",3,"BL"
"20","LO",58.1708613,12.36666667,"rbnh",4,"BL"
"21","HI",59.8867305,12.39444444,"rbnh",0,"BL"
"22","LO",67.7411155,13.01111111,"rbnh",1,"BL"
"23","LO",NA,13.06111111,"rbnh",6,"BL"
"24","HI",61.5046309,13.07222222,"rbnh",3,"BL"
"25","HI",56.547363,13.44444444,"rbnh",1,"BL"
"26","LO",70.9077201,13.475,"rbnh",4,"BL"
"27","LO",65.1334726,13.86666667,"rbnh",0,"BL"
"28","LO",67.0556756,14,"rbnh",1,"BL"
"29","LO",NA,14.27777778,"rbnh",4,"BL"
"30","LO",67.4893383,14.32777778,"rbnh",1,"BL"
"31","LO",68.3009991,14.46666667,"rbnh",0,"BL"
"32","HI",63.6575835,14.6,"rbnh",0,"BL"
"33","HI",59.8,14.817,"rbnh",0,"BL"
"34","HI",55.2425899,15.01111111,"rbnh",4,"BL"
"35","HI",37.4,15.17,"rbnh",0,"BL"
"36","HI",66.9676268,15.25555556,"rbnh",0,"BL"
"37","HI",63.5084885,15.41666667,"rbnh",0,"BL"
"38","LO",NA,16.47222222,"rbnh",4,"BL"
"39","LO",58.3670267,16.92777778,"rbnh",0,"BL"
"40","LO",49.6597607,17.15,"rbnh",2,"BL"
"41","HI",65.2,17.86,"rbnh",0,"BL"
"42","HI",51.9413691,17.91111111,"rbnh",0,"BL"
"43","HI",61.1240537,17.97777778,"rbnh",0,"BL"
"44","HI",48.2963732,18.22777778,"rbnh",0,"BL"
"45","HI",36.4091531,18.69444444,"rbnh",1,"BL"
"0","LO",62.4,3.32,"blnh",0,"BL"
"1","LO",64.5,4.84,"blnh",0,"BL"
"2","LO",69.3583742,5.866666667,"blnh",6,"BL"
"3","HI",60.6984759,6.461111111,"blnh",2,"BL"
"4","HI",59.5813752,6.594444444,"blnh",10,"BL"
"5","HI",58.1826275,8.172222222,"blnh",15,"BL"
"6","HI",60,8.544444444,"blnh",10,"BL"
"7","HI",58.9932886,8.861111111,"blnh",6,"BL"
"8","LO",60.6441556,9.122222222,"blnh",3,"BL"
"9","LO",56.9119128,9.288888889,"blnh",5,"BL"
"10","LO",68.8040602,9.772222222,"blnh",4,"BL"
"11","HI",65.0185953,9.844444444,"blnh",13,"BL"
"12","HI",58.639499,10.27222222,"blnh",2,"BL"
"13","HI",63.8820143,10.36111111,"blnh",3,"BL"
"14","LO",65.7442208,10.39444444,"blnh",1,"BL"
"15","LO",67.6405703,10.62777778,"blnh",3,"BL"
"16","HI",NA,10.9,"blnh",2,"BL"
"17","LO",70.7499899,11.05555556,"blnh",4,"BL"
"18","HI",65.5408173,11.41111111,"blnh",4,"BL"
"19","HI",67.9667235,11.6,"blnh",1,"BL"
"20","LO",58.1708613,12.36666667,"blnh",8,"BL"
"21","HI",59.8867305,12.39444444,"blnh",5,"BL"
"22","LO",67.7411155,13.01111111,"blnh",2,"BL"
"23","LO",NA,13.06111111,"blnh",13,"BL"
"24","HI",61.5046309,13.07222222,"blnh",14,"BL"
"25","HI",56.547363,13.44444444,"blnh",2,"BL"
"26","LO",70.9077201,13.475,"blnh",1,"BL"
"27","LO",65.1334726,13.86666667,"blnh",4,"BL"
"28","LO",67.0556756,14,"blnh",4,"BL"
"29","LO",NA,14.27777778,"blnh",6,"BL"
"30","LO",67.4893383,14.32777778,"blnh",1,"BL"
"31","LO",68.3009991,14.46666667,"blnh",2,"BL"
"32","HI",63.6575835,14.6,"blnh",4,"BL"
"33","HI",59.8,14.817,"blnh",0,"BL"
"34","HI",55.2425899,15.01111111,"blnh",20,"BL"
"35","HI",37.4,15.17,"blnh",0,"BL"
"36","HI",66.9676268,15.25555556,"blnh",3,"BL"
"37","HI",63.5084885,15.41666667,"blnh",2,"BL"
"38","LO",NA,16.47222222,"blnh",2,"BL"
"39","LO",58.3670267,16.92777778,"blnh",2,"BL"
"40","LO",49.6597607,17.15,"blnh",9,"BL"
"41","HI",65.2,17.86,"blnh",0,"BL"
"42","HI",51.9413691,17.91111111,"blnh",4,"BL"
"43","HI",61.1240537,17.97777778,"blnh",7,"BL"
"44","HI",48.2963732,18.22777778,"blnh",1,"BL"
"45","HI",36.4091531,18.69444444,"blnh",0,"BL"
